"gameid","gametype","blue","red","resultb","url","SPLIT_STRING(blue,',',1)","SPLIT_STRING(blue,',',2)","SPLIT_STRING(blue,',',3)","SPLIT_STRING(blue,',',4)","SPLIT_STRING(blue,',',5)","SPLIT_STRING(red,',',1)","SPLIT_STRING(red,',',2)","SPLIT_STRING(red,',',3)","SPLIT_STRING(red,',',4)","SPLIT_STRING(red,',',5)"
"3389233043","Normal","Blitzcrank,Vayne,Viktor,LeBlanc,Nocturne","Ahri,Darius,Taliyah,Blitzcrank,Lucian","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389233043&summonerId=2086899&gameTime=1540029622","Blitzcrank","Vayne","Viktor","LeBlanc","Nocturne","Ahri","Darius","Taliyah","Blitzcrank","Lucian"
"3389235942","Normal","Singed,Lee Sin,Lucian,Malzahar,Nautilus","Shen,Aatrox,Irelia,Rengar,Kai'Sa","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389235942&summonerId=4581811&gameTime=1540030574","Singed","Lee Sin","Lucian","Malzahar","Nautilus","Shen","Aatrox","Irelia","Rengar","Kai'Sa"
"3389235796","Normal","Ryze,Fiddlesticks,Gangplank,Kha'Zix,Varus","Jinx,Rakan,Yasuo,Akali,Kindred","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389235796&summonerId=6875062&gameTime=1540031349","Ryze","Fiddlesticks","Gangplank","Kha'Zix","Varus","Jinx","Rakan","Yasuo","Akali","Kindred"
"3389237115","Normal","Nidalee,Nami,Ezreal,Kled,Tristana","Akali,Caitlyn,Soraka,Zed,Kayn","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389237115&summonerId=17644959&gameTime=1540030410","Nidalee","Nami","Ezreal","Kled","Tristana","Akali","Caitlyn","Soraka","Zed","Kayn"
"3389237829","Normal","Kalista,Orianna,Thresh,Rengar,Garen","Kassadin,Akali,Nami,Lee Sin,Ezreal","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389237829&summonerId=9802206&gameTime=1540031728","Kalista","Orianna","Thresh","Rengar","Garen","Kassadin","Akali","Nami","Lee Sin","Ezreal"
"3389239043","Normal","Xayah,LeBlanc,Rakan,Nidalee,Renekton","Cho'Gath,Lee Sin,Yasuo,Rakan,Ekko","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389239043&summonerId=21490605&gameTime=1540031669","Xayah","LeBlanc","Rakan","Nidalee","Renekton","Cho'Gath","Lee Sin","Yasuo","Rakan","Ekko"
"3389240106","Normal","Nami,Yasuo,Master Yi,Hecarim,Kassadin","Lux,Blitzcrank,Ahri,Kai'Sa,Kayn","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389240106&summonerId=17644959&gameTime=1540029246","Nami","Yasuo","Master Yi","Hecarim","Kassadin","Lux","Blitzcrank","Ahri","Kai'Sa","Kayn"
"3389243981","Normal","LeBlanc,Taric,Twitch,Heimerdinger,Viktor","Jinx,Urgot,Pantheon,Yasuo,Shen","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389243981&summonerId=23725163&gameTime=1540030302","LeBlanc","Taric","Twitch","Heimerdinger","Viktor","Jinx","Urgot","Pantheon","Yasuo","Shen"
"3389244304","Normal","Zed,Fiddlesticks,Veigar,Lee Sin,Sion","Syndra,Soraka,Rek'Sai,Ezreal,Viktor","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389244304&summonerId=8621374&gameTime=1540029992","Zed","Fiddlesticks","Veigar","Lee Sin","Sion","Syndra","Soraka","Rek'Sai","Ezreal","Viktor"
"3389249055","Normal","Zyra,Gnar,Taliyah,Miss Fortune,Irelia","Gangplank,Ezreal,Nocturne,Kog'Maw,Nautilus","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389249055&summonerId=2086899&gameTime=1540031999","Zyra","Gnar","Taliyah","Miss Fortune","Irelia","Gangplank","Ezreal","Nocturne","Kog'Maw","Nautilus"
"3389252841","Normal","Ornn,Xin Zhao,Alistar,Jinx,Anivia","Ezreal,Irelia,Lux,Akali,Taliyah","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389252841&summonerId=18173222&gameTime=1540029694","Ornn","Xin Zhao","Alistar","Jinx","Anivia","Ezreal","Irelia","Lux","Akali","Taliyah"
"3389253534","Normal","Ahri,Nami,Renekton,Zoe,Tristana","Zed,Miss Fortune,Master Yi,Sona,Yasuo","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389253534&summonerId=78430511&gameTime=1540029677","Ahri","Nami","Renekton","Zoe","Tristana","Zed","Miss Fortune","Master Yi","Sona","Yasuo"
"3389255839","Normal","Camille,Nocturne,Ezreal,Diana,Thresh","Miss Fortune,Vel'Koz,Lissandra,Aatrox,Skarner","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389255839&summonerId=66433999&gameTime=1540029288","Camille","Nocturne","Ezreal","Diana","Thresh","Miss Fortune","Vel'Koz","Lissandra","Aatrox","Skarner"
"3389255670","Normal","Fiddlesticks,Vel'Koz,Jhin,Blitzcrank,Renekton","Camille,Irelia,Rakan,Jinx,Gangplank","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389255670&summonerId=35440879&gameTime=1540030793","Fiddlesticks","Vel'Koz","Jhin","Blitzcrank","Renekton","Camille","Irelia","Rakan","Jinx","Gangplank"
"3389257599","Normal","Camille,Nocturne,Ezreal,Ekko,Thresh","Taliyah,Twisted Fate,Xin Zhao,Urgot,Ezreal","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389257599&summonerId=66433999&gameTime=1540030514","Camille","Nocturne","Ezreal","Ekko","Thresh","Taliyah","Twisted Fate","Xin Zhao","Urgot","Ezreal"
"3389258264","Normal","Ahri,Rakan,Viktor,Xayah,Graves","Graves,Yasuo,Xayah,Sona,Rengar","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389258264&summonerId=21261765&gameTime=1540031972","Ahri","Rakan","Viktor","Xayah","Graves","Graves","Yasuo","Xayah","Sona","Rengar"
"3389259011","Normal","Nocturne,Yasuo,Urgot,Miss Fortune,Malphite","Yasuo,Taliyah,LeBlanc,Miss Fortune,Janna","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389259011&summonerId=36320539&gameTime=1540031814","Nocturne","Yasuo","Urgot","Miss Fortune","Malphite","Yasuo","Taliyah","LeBlanc","Miss Fortune","Janna"
"3389261844","Normal","Soraka,Amumu,Gragas,Yasuo,Sivir","Lissandra,Nocturne,Soraka,Xayah,Garen","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389261844&summonerId=21650926&gameTime=1540030173","Soraka","Amumu","Gragas","Yasuo","Sivir","Lissandra","Nocturne","Soraka","Xayah","Garen"
"3389260219","Normal","Lucian,Twitch,Soraka,Kog'Maw,Amumu","Xerath,Zed,Jhin,Diana,Gangplank","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389260219&summonerId=13942844&gameTime=1540029642","Lucian","Twitch","Soraka","Kog'Maw","Amumu","Xerath","Zed","Jhin","Diana","Gangplank"
"3389261903","Normal","Alistar,Poppy,Jhin,Yasuo,Lee Sin","Amumu,Irelia,Veigar,Janna,Ezreal","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389261903&summonerId=11805473&gameTime=1540029645","Alistar","Poppy","Jhin","Yasuo","Lee Sin","Amumu","Irelia","Veigar","Janna","Ezreal"
"3389264456","Normal","Ahri,Vayne,Urgot,Lulu,Gragas","Zac,Kassadin,Pyke,Garen,Ezreal","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389264456&summonerId=2151531&gameTime=1540031053","Ahri","Vayne","Urgot","Lulu","Gragas","Zac","Kassadin","Pyke","Garen","Ezreal"
"3389269090","Normal","Orianna,Alistar,Graves,Kai'Sa,Aatrox","Olaf,Kai'Sa,Fiddlesticks,Udyr,LeBlanc","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389269090&summonerId=5932725&gameTime=1540032470","Orianna","Alistar","Graves","Kai'Sa","Aatrox","Olaf","Kai'Sa","Fiddlesticks","Udyr","LeBlanc"
"3389266253","Normal","Thresh,Rengar,Yasuo,Shaco,Ezreal","Malphite,Sona,Miss Fortune,Zilean,Graves","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389266253&summonerId=8801485&gameTime=1540029510","Thresh","Rengar","Yasuo","Shaco","Ezreal","Malphite","Sona","Miss Fortune","Zilean","Graves"
"3389412285","Normal","Xayah,Swain,Rakan,Darius,Xin Zhao","Rammus,Miss Fortune,Akali,Urgot,Leona","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389412285&summonerId=70580132&gameTime=1540032297","Xayah","Swain","Rakan","Darius","Xin Zhao","Rammus","Miss Fortune","Akali","Urgot","Leona"
"3389412914","Normal","Leona,Nocturne,Zed,Rumble,Vayne","Illaoi,Soraka,Zed,Rammus,Lucian","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389412914&summonerId=46690797&gameTime=1540032343","Leona","Nocturne","Zed","Rumble","Vayne","Illaoi","Soraka","Zed","Rammus","Lucian"
"3389416027","Normal","Lulu,Ornn,Karma,Ezreal,Lee Sin","Shaco,Xayah,Gragas,Rakan,Ahri","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389416027&summonerId=7640547&gameTime=1540033943","Lulu","Ornn","Karma","Ezreal","Lee Sin","Shaco","Xayah","Gragas","Rakan","Ahri"
"3389417986","Normal","Ezreal,Alistar,Pantheon,Lee Sin,LeBlanc","Malphite,Shaco,Akali,Lee Sin,Tristana","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389417986&summonerId=77000276&gameTime=1540033365","Ezreal","Alistar","Pantheon","Lee Sin","LeBlanc","Malphite","Shaco","Akali","Lee Sin","Tristana"
"3389419557","Normal","Ezreal,Irelia,Blitzcrank,Teemo,Graves","Kai'Sa,Alistar,Kennen,Malphite,Camille","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389419557&summonerId=1997821&gameTime=1540034790","Ezreal","Irelia","Blitzcrank","Teemo","Graves","Kai'Sa","Alistar","Kennen","Malphite","Camille"
"3389422485","Normal","Warwick,Nami,Galio,Heimerdinger,Kai'Sa","Nidalee,Poppy,Varus,Tahm Kench,Aatrox","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389422485&summonerId=3700531&gameTime=1540032031","Warwick","Nami","Galio","Heimerdinger","Kai'Sa","Nidalee","Poppy","Varus","Tahm Kench","Aatrox"
"3389423392","Normal","Ahri,Lee Sin,Blitzcrank,Akali,Jhin","Irelia,Rumble,Olaf,Poppy,Lucian","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389423392&summonerId=35440879&gameTime=1540032452","Ahri","Lee Sin","Blitzcrank","Akali","Jhin","Irelia","Rumble","Olaf","Poppy","Lucian"
"3389425788","Normal","Master Yi,Thresh,Jax,Jhin,Malzahar","LeBlanc,Urgot,Fiddlesticks,Veigar,Tristana","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389425788&summonerId=6875062&gameTime=1540032760","Master Yi","Thresh","Jax","Jhin","Malzahar","LeBlanc","Urgot","Fiddlesticks","Veigar","Tristana"
"3389427200","Normal","Amumu,Irelia,Gnar,Lucian,Alistar","Ezreal,LeBlanc,Renekton,Thresh,Kayn","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389427200&summonerId=8051570&gameTime=1540033769","Amumu","Irelia","Gnar","Lucian","Alistar","Ezreal","LeBlanc","Renekton","Thresh","Kayn"
"3389427830","Normal","Ezreal,Irelia,LeBlanc,Master Yi,Nautilus","Lucian,Irelia,Sion,Dr. Mundo,Nami","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389427830&summonerId=36320539&gameTime=1540033926","Ezreal","Irelia","LeBlanc","Master Yi","Nautilus","Lucian","Irelia","Sion","Dr. Mundo","Nami"
"3389428246","Normal","Xin Zhao,Pyke,Ezreal,Irelia,Thresh","Kassadin,Viktor,Miss Fortune,Kayn,Thresh","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389428246&summonerId=39121648&gameTime=1540034372","Xin Zhao","Pyke","Ezreal","Irelia","Thresh","Kassadin","Viktor","Miss Fortune","Kayn","Thresh"
"3389442092","Normal","Taliyah,Riven,Ziggs,Ashe,Morgana","Aurelion Sol,Swain,Jhin,Alistar,Viktor","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389442092&summonerId=66433999&gameTime=1540031653","Taliyah","Riven","Ziggs","Ashe","Morgana","Aurelion Sol","Swain","Jhin","Alistar","Viktor"
"3389448157","Normal","Orianna,Xayah,Nidalee,Pyke,Sion","Malphite,Poppy,Irelia,Camille,Rakan","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389448157&summonerId=21261765&gameTime=1540033678","Orianna","Xayah","Nidalee","Pyke","Sion","Malphite","Poppy","Irelia","Camille","Rakan"
"3389448907","Normal","Leona,Fiora,Xayah,Trundle,Kassadin","Talon,Urgot,Lux,Morgana,Heimerdinger","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389448907&summonerId=2032721&gameTime=1540033667","Leona","Fiora","Xayah","Trundle","Kassadin","Talon","Urgot","Lux","Morgana","Heimerdinger"
"3389451370","Normal","Rumble,Zed,Pyke,Kai'Sa,Fiddlesticks","Leona,Sivir,Nidalee,Viktor,Orianna","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389451370&summonerId=23725163&gameTime=1540032018","Rumble","Zed","Pyke","Kai'Sa","Fiddlesticks","Leona","Sivir","Nidalee","Viktor","Orianna"
"3389454189","Normal","Aatrox,Kha'Zix,Irelia,Lulu,Vayne","Yasuo,Twisted Fate,Kai'Sa,Fiora,Xin Zhao","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389454189&summonerId=70070751&gameTime=1540032847","Aatrox","Kha'Zix","Irelia","Lulu","Vayne","Yasuo","Twisted Fate","Kai'Sa","Fiora","Xin Zhao"
"3389456377","Normal","Alistar,Rengar,Katarina,Ezreal,Cho'Gath","Camille,Thresh,Kayle,Yasuo,Darius","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389456377&summonerId=12780187&gameTime=1540033058","Alistar","Rengar","Katarina","Ezreal","Cho'Gath","Camille","Thresh","Kayle","Yasuo","Darius"
"3389454536","Normal","LeBlanc,Graves,Cho'Gath,Lucian,Bard","Master Yi,Nami,Jhin,Viktor,Urgot","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389454536&summonerId=30041613&gameTime=1540033140","LeBlanc","Graves","Cho'Gath","Lucian","Bard","Master Yi","Nami","Jhin","Viktor","Urgot"
"3389458205","Normal","Ezreal,Darius,Zed,Elise,Tahm Kench","Cho'Gath,Aatrox,Blitzcrank,Taliyah,Lucian","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389458205&summonerId=2086899&gameTime=1540033674","Ezreal","Darius","Zed","Elise","Tahm Kench","Cho'Gath","Aatrox","Blitzcrank","Taliyah","Lucian"
"3389459958","Normal","Kindred,Brand,Aatrox,Ezreal,Yasuo","Gangplank,Lux,Sion,Lee Sin,Kog'Maw","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389459958&summonerId=70580132&gameTime=1540033898","Kindred","Brand","Aatrox","Ezreal","Yasuo","Gangplank","Lux","Sion","Lee Sin","Kog'Maw"
"3389460404","Normal","Lulu,Kai'Sa,Sion,Lee Sin,Irelia","Fiddlesticks,Kha'Zix,Darius,Shen,Akali","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389460404&summonerId=16311011&gameTime=1540032333","Lulu","Kai'Sa","Sion","Lee Sin","Irelia","Fiddlesticks","Kha'Zix","Darius","Shen","Akali"
"3389462908","Normal","Xayah,Lissandra,LeBlanc,Poppy,Gragas","Master Yi,Zoe,Riven,Nami,Vayne","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389462908&summonerId=4581811&gameTime=1540032367","Xayah","Lissandra","LeBlanc","Poppy","Gragas","Master Yi","Zoe","Riven","Nami","Vayne"
"3389461961","Normal","Xerath,Rengar,Nidalee,Kai'Sa,Lissandra","Master Yi,Darius,Nami,Cassiopeia,Kai'Sa","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389461961&summonerId=16500536&gameTime=1540031748","Xerath","Rengar","Nidalee","Kai'Sa","Lissandra","Master Yi","Darius","Nami","Cassiopeia","Kai'Sa"
"3389465333","Normal","Kindred,Urgot,Kai'Sa,Viktor,Braum","Jax,Soraka,Swain,Pantheon,Lucian","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389465333&summonerId=2151531&gameTime=1540033015","Kindred","Urgot","Kai'Sa","Viktor","Braum","Jax","Soraka","Swain","Pantheon","Lucian"
